CURRENCY,EUR-Euro,USD-US Dollar,JPY-Japanese Yen,CYP-Cypriot Pound,CZK-Czech Koruna,DKK-Danish Krone,EEK-Estonian kroon,GBP-British Pound,HUF-Hungarian Forint,LTL-Lithuanian Litas,LVL-Latvian lats,MTL-Maltese Lira,PLN-Polish Zloty,ROL-Romanian Old Leu,SEK-Swedish krona,SIT-Slovenian Tolar,SKK-Slovak Koruna,CHF-Swiss Franc,ISK-Iceland Krona,NOK-Norwegian Kroner,TRL-Turkish Old Lira,AUD-Australian Dollar,CAD-Canadian Dollar,HKD-Hong Kong Dollar,KRW-Korean Won,NZD-New Zealand Dollar,SGD-Singapore Dollar,ZAR-South African Rand,BGN-Bulgarian Lev,TRY-Turkish Lira,HRK-Croatian Kuna,RUB-Russian Rouble,CNY-Chinese Yuan Renminbi,IDR-Indonesian Rupiah,MYR-Malaysian Ringgit,PHP-Philippine Peso,THB-Thai Baht,RON-Romanian New Leu,BRL-Brazilian Real,MXN-Mexican peso,INR-Indian Rupee,AED-Utd. Arab Emir. Dirham
MTL-Maltese Lira,0.4293,0.39499,0.00266,0.7335,0.01714,0.05754,0.02744,0.51097,0.00107,0.12433,0.61084,1,0.10265,0.00001,0.03885,0.00179,0.01425,0.44574,0.00293,0.03704,0,0.24952,0.27448,0.05074,0.00027,0.22656,0.29528,0.02166,0.2195,0.01075,0.05698,0.00461,0.05455,0.00002,0.08867,0.00688,0.01171,0.08616,0.06871,0.01978,0.00454,0.10739
PLN-Polish Zloty,4.17938,3.84573,0.02589,7.14089,0.16687,0.56009,0.26711,4.9744,0.01046,1.21043,5.94672,9.73533,1,0.00008,0.37823,0.01744,0.13873,4.33822,0.02852,0.36049,0,2.429,2.67227,0.4941,0.00264,2.20571,2.87482,0.21089,2.13613,0.10469,0.5545,0.04491,0.5311,0.00023,0.86333,0.06695,0.11402,0.83883,0.66892,0.1926,0.04417,1.04554
ROL-Romanian Old Leu,49717.6,45754.8,307.979,84947.6,1985.36,6663.74,3177.53,59183.3,124.414,14399.2,70741.8,115811,11887.7,1,4500.07,207.468,1650.32,51630,339.371,4290.28,0.00125,28908,31803.1,5880.32,31.474,26250.6,34213.8,2509.79,25413.5,1245.94,6596.91,534.444,6320.71,2.79659,10274.6,796.794,1356.96,10000,7961,2292.2,525.642,12443.2
SEK-Swedish Krona,11.0442,10.1627,0.06841,18.8702,0.44097,1.48009,0.70586,13.1453,0.02763,3.19864,15.7145,25.7262,2.6404,0.00022,1,0.04609,0.3666,11.4403,0.0752,0.95065,0,6.4055,7.04701,1.30297,0.00697,5.81667,7.58116,0.55612,5.63469,0.27608,1.46267,0.11842,1.40056,0.00062,2.27667,0.17655,0.30068,2.21207,1.76402,0.50791,0.11647,2.75718
SIT-Slovenian Tolar,239.64,220.49,1.48424,409.449,9.56847,32.1171,15.3158,285.227,0.59967,69.4045,340.977,558.211,57.2992,0.00481,21.6878,1,7.95459,248.816,1.63496,20.6763,0,139.283,153.215,28.3249,0.15163,126.466,164.829,12.092,122.526,6.00248,31.8057,2.57475,30.4508,0.01347,49.4991,3.83865,6.53732,48.0947,38.3531,11.043,2.53234,59.9464
SKK-Slovak Koruna,30.126,27.7186,0.18659,51.4733,1.20289,4.03756,1.9254,35.8569,0.07539,8.72509,42.8654,70.1747,7.20328,0.0006,2.72645,0.12571,1,31.2796,0.20554,2.59929,0,17.5097,19.2613,3.56082,0.01906,15.8984,20.7212,1.52013,15.4032,0.75459,3.99841,0.32368,3.82808,0.00169,6.22271,0.48257,0.82183,6.04615,4.8215,1.38825,0.31835,7.53608
CHF-Swiss Franc,0.96115,0.88442,0.00595,1.64222,0.03838,0.12881,0.06143,1.1441,0.0024,0.27837,1.36759,2.23888,0.22978,0.00002,0.08698,0.00401,0.0319,1,0.00657,0.08304,0,0.55954,0.61558,0.11382,0.00061,0.5081,0.66224,0.04858,0.49218,0.02412,0.12776,0.01034,0.12234,0.00005,0.19887,0.01542,0.02627,0.19323,0.15409,0.04437,0.01017,0.24085
ISK-Iceland Krona,145.826,134.203,0.90333,249.158,5.82321,19.5453,9.31997,173.589,0.36492,42.2341,207.491,339.683,34.8676,0.0293,13.1991,0.60852,4.84053,151.632,1,12.6001,0,848996,93.4023,17.2699,0.09244,77.0952,100.482,7.37097,74.6366,3.65919,19.3744,1.5696,18.5632,0.00821,30.1753,2.3401,3.98524,29.3192,23.3806,6.73195,1.54375,36.5442
NOK-Norwegian Kroner,11.5934,10.6682,0.07181,19.8085,0.46291,1.55372,0.74095,13.7992,0.02901,3.35767,16.4959,27.0053,2.77174,0.00023,1.04924,0.04838,0.38483,12.017,0.07899,1,0,6.72839,7.40223,1.36866,0.00733,6.10988,7.96331,0.58416,5.91677,0.29,1.53589,0.12439,1.47116,0.00065,2.39143,0.18546,0.31583,2.32358,1.85294,0.53351,0.12234,2.89617
TRL-Turkish Old Lira,39824000,36649800,246692,68043300,1590280,5337680,2545220,47407000,99656,11533800,56664400,92764900,9522090,799.461,3604580,166183,1321910,41214300,270907,3424770,1,23076100,25387200,4684040,25124.5,20954900,27311500,2003470,20286600,1000000,5266060,426626,5045580,2232.41,8201810,636050,1083210,7969100,6354960,1829780,419599,9932890
